,Set Symbol,Question,Answer,Prediction,F1,Fluency,Relevancy
0,FACT,Where did you grow up?,"Sacramento, California"," In a little town in California called Merced, which is sort of the Yosemite of the San Joaquin Valley.",0.6666667,,
1,FACT,Who is your dad?,Charles Hannold," I mean, I know that he's my dad. I just don't know who my mom is.",0.0,,
2,FACT,When is your birthday?,"August 17, 1985", I think it's in February.,0.0,,
3,FACT,Who is your mom?,Dierdre Wolownick," I don't know. I mean, I think she's a nurse. But she's also, like, a mom to me in the sense that she takes care of me and feeds me and stuff like that. But I don't know her personally or anything.""",0.0,,
4,FACT,Who is your sister?,Stasia," I don't know. I mean, I think she's probably my half sister. She has the same dad as me, but different moms.",0.0,,
5,FACT,Which language did your mom talk to you in?,French," I don't know. I don't remember. But I think it was French, or maybe Italian, or something like that.",1.0,,
6,FACT,At what age did you start climbing?,10 years," I think I was about six or seven. My parents took me to the Red Rocks area outside of Las Vegas, and I remember climbing a big sandstone boulder there that was called ""The Nose.""",0.0,,
7,FACT,Where did your dad get a permanent job?,American River College ," Well, he got hired by the National Park Service as a ranger at Red Rocks, which is this amazing scenic area in the desert near Las Vegas.",0.4,,
8,FACT,Whose climbing stories did you read growning up?,Mark Twight," I mean, I read all kinds of books. I mean, but the ones that really stick out in my memory are the ones that were so inspiring and so beautiful. And when you read about somebody else's journey and you feel like they're kind of living your own dream, it's pretty cool.",0.0,,
9,FACT,What makes El Cap so intimidating?,Scale of the wall," The sheer scale of it. It's 2,700 feet of climbing wall, and it takes an average of three hours to climb. That's a lot longer than the Triple in Yosemite, which is 1,600 feet long and takes an hour and forty minutes to climb.",1.0,,
10,FACT,What is your usual breakfast?,Muesli and fruit," I'm a big egg eater. I like to scramble a bunch of eggs and put them on top of some whole-wheat toast. I'll eat the eggs and then just throw the toast away, because it's too hard to eat everything on it.",0.5,,
11,FACT,Which project were you dreaming of for years?,Moonlight Buttress," The Triple Crown of Climbing. The three great faces of El Cap. The Nose on El Cap, and the Dawn Wall on Half Dome in California.",0.0,,
12,FACT,What was the favorite hiking destination for you and your dad?,Mount Tallac," I think the one that sticks out in my mind is a trip we took to the Ennedi in Chad. We were going to hike up Mount Faya, the tallest mountain in that country, but before we could get started, a huge sandstorm blew through. The wind was so strong it ripped our tent right off its pegs and carried it away. We spent the night huddled under our puffy jackets as if we were freezing on Kilimanjaro! But then this amazing sunrise came through the clouds and changed everything for us--it was like a new day had dawned after a night of despairing struggle against wind and sand.",0.6666667,,
13,FACT,Who convinced The North Face to sponsor you?,Conrad Anker,,0.0,,
14,FACT,What keeps you motivated?,Insatiable hunger and curiosity," I don't know, maybe it's the fear of falling off.",0.0,,
15,INF,Tell me about your book Alone on the Wall. It’s split into seven of your most memorable climbs. What are they?,"They’re all just significant events for me. Starting with some of the early free solos that I did and sort of building in complexity as I started big wall soloing using some ropes and hardware, but mostly climbing by myself."," Well, there",,0.05903537,0.07116661
16,INF,Can you explain the type of climbing you practice? I understand there are no ropes or climbing hardware to keep you safe.,"That’s called free soloing and that is part of what I do, but I mean I’ve been climbing for 20 years and I practice all sorts of climbing. That’s why I wrote the book to sort of show the different types of climbing that do."," But I don't feel like I'm in any danger. And the fact that it's all about speed and precision, that it's all about flow and not strength, doesn't bother me at all.",,0.55873334,0.23856679
17,INF,How do you manage that fear?,It’s not like I have to overcome fear in the sense of like suppressing it. If I feel a lot of fear then I can just put something off until I’m better trained. The important thing for me is to differentiate between an appropriate fear – like a fear that I’m in danger – and an irrational fear in my mind. If I’m feeling fear because I’m actually in danger or because there’s a chance that I may fall or chance that I might die then that’s a very helpful warning and I should heed that.”," I mean, I think that it's important not to let that fear control you.",,0.60501343,0.66485023
18,INF,This is high stakes climbing. How do you grapple with the worst case scenario – death?,"Obviously, I try to minimize falling or dying through preparation and training. There’s no pressure for me to go soloing so if I’m not feeling totally up for it then I just put it of for later.",,,0.9012281,-0.02494663
19,INF,I understand you have a certain love affair with the Sierra Nevada. Tell me about that and the climbs you’ve taken there and your history with it.,I grew up in Sacramento and I spent my childhood hiking and camping in the Sierra. The smell of the pine forest there still feels very much like home. Yosemite is in the Sierra Nevada and that’s where I’ve done the majority of my climbing. I think El Capitan is probably the most impressive piece of rock in the world.,,,0.9012281,-0.051868193
20,INF,How have you developed the focus required to free solo?,"That’s actually the one aspect of it I don’t need to practice. It’s not that I’m gifted. Free soloing just forces me to focus naturally. It’s a by-product of being on a wall without ropes: You have to perform, so you flip that switch. For me, the preparation lies more in physical training and route planning."," I think it's a combination of practice and preparation. I started climbing when I was eleven, which is pretty late in life for a serious climber. But when you're that young, you can still have fun learning the moves and then just let go on the climb without worrying too much about your form or technique. As you get older, though--especially if your parents are like mine--you start to worry more about whether what you're doing is safe or healthy for you. And as soon as that happens, the fun goes out of it because now it's not just about having fun anymore; now it's also an issue of personal responsibility to make sure that what we're doing isn't going to hurt us in any way.",,0.6804178,0.53262496
21,INF,How do you decide which risks are worth taking?,"The casual observer might think free soloing is all crazy and reckless. But you can’t have a long career unless you spend a tremendous amount of time thinking about risk and minimizing it to ensure your own safety. There’s a brief scene in Free Solo where an fMRI shows that the amygdala in my brain responds differently than a “normal” person’s to low levels of fear stimuli, and most viewers come away saying, “There’s something unique about his brain.” I find that slightly irritating, because I’ve spent 25 years conditioning myself to work in extreme conditions, so of course my brain is different—just as the brain of a monk who has spent years meditating or a taxi driver who has memorized all the streets of a city would be different."," That's the hard part. It's not like I have a checklist of things to do. I mean, it all depends on the situation and what feels right to do.",,0.7275057,0.3540051
22,INF,Do all your climbs help prepare you for free solos?,"A lot of it—with a rope, with partners, or on easy terrain—is strictly for pleasure and relatively relaxed. But there is value in all the time and mileage on rock, feeling comfortable. It’s hard to sustain the intensity you need to free solo, so I think there’s something to be said for making that effort only when I need to."," I mean, I don't know. I mean, I think that the climbing is kind of its own reward.",,0.51736724,0.604676
23,INF,“Free solo” implies an individual pursuit. Do you prefer that or collaboration?,"On the whole, climbing is very collaborative. Even during the two years we filmed Free Solo, I did a giant rope linkup with the climbing legend, Tommy Caldwell. I climb with partners all the time. Free soloing is only a few climbs a year.", I think soloing is cooler.,,0.7872083,0.4490389
24,INF,How does your approach for philanthropic work on Honnold Foundation compare to your approach to climbing?,"I tend to take a big problem and break it into smaller parts. With climbing, I take a huge climb that seems like too much, but then I start. I train; I work towards it. I break it apart into pieces, work on the pieces, and then eventually do it. It’s definitely the same mindset. Issues of global poverty or climate change…can seem totally insurmountable, but then when you start to break it into little pieces, you think, “Well, I can do a little bit on this piece.” You may as well start and try. They basically both stem from the idea that you may as well start doing something…though these are obviously very different activities.",,,0.9012281,0.051681634
25,INF,"What was it like, the first time you climbed El Capitan?","Completely outrageous. My partner and I had the big goal for the season to climb El Capitan in a day by any means, not free climbing, just doing anything we could to get to the top. We built up for it the whole season. It was a big adventure, a big challenge. We climbed the easiest route in 23 hours. Doing it represented a whole other world of climbing."," I was only thirteen, but I'd read all the books and seen all the films. It was a big moment for me. I remember sitting in my van for an hour just staring at the wall in disbelief. Then I got out my camera and started taking pictures of everything--the wall, the sky, even myself sitting in my van with a big smile on my face.",,0.62343645,0.3031928
26,INF,How do you manage climbing with someone less experienced or talented?,"In a guiding role, it’s easy: You just take over as team captain and do what needs to be done. The real danger is when two people think they’re climbing as equals but are bringing very different opinions on safety to it.",,,0.9012281,-0.0087912455
27,INF,Is the way you train—memorizing and rehearsing your plan—typical?,"Visualizing how you’re going to navigate a difficult section is pretty common. Where are my hands going to go? Where should I place my foot? Even recreational climbers in gyms make plans for themselves before they leave the ground. With free soloing, you’re both remembering or anticipating how to do certain climbs and trying to imagine the emotional component. What will it feel like to be up high in a crazy, contorted position without protection during a difficult stretch? When I’m not climbing, I spend most of my time reading books about training, psychology, and performance. If I get one good idea from one book, that’s a success.", I don't know. I think it's pretty weird.,,0.6208482,0.25710377
28,INF,What has led to the biggest breakthroughs in your climbs?,"There’s a creative element to solving problems, like figuring out how to climb certain sections of wall. But when I’m free soloing, I’ve already prepared and want to stick to the plan. I don’t want to be improvising. That would bring more uncertainty and risk into the equation. So most of my creative processing comes on rest days when I’m lying around somewhere safe, just thinking about climbing. That’s when I’ll envision “enchainments”—combinations of climbs that people have never done before.",,,0.9012281,0.027060788
29,INF,Why did you establish Hannold Foundation?,"I had an obligation to do something for others, for those with fewer choices in life and fewer means to accomplish them. By 2012, thanks to sponsorship and commercials, I had more money than I needed to live comfortably. So I established the Honnold Foundation. Its motto is ""Helping people live better, simply."" The mission statement I posted on my new website read, ""The Honnold Foundation seeks simple, sustainable ways to improve lives world-wide. Simplicity is the key; low-impact, better living is the goal."""," I think I was just sort of at a point in my life where I felt like, ""I want to do something that's bigger than myself.""",,0.81368923,0.44220722
30,ABS,"Why can’t you take fewer risks, even if just for Sanni?","For Sanni, the point of life is happiness and to have a good time. For me, it’s all about performance. Nothing good happens in the world by being happy and cosy. Nobody achieves anything great because they’re happy and cosy. This is your path and you will pursue it with excellence. You face your fear because your goal demands it, that is the goddamn warrior spirit. You give something 100 percent focus because your life depends on it."," I mean, I can't just be like, ""Okay, I'll only climb on solid rock.""",,0.76201946,0.25925887
31,ABS,Is there a place you go when you go to inside of you when you’re free soloing that’s different then when you’re out with ropes and bolts on a rock?,It’s definitely more of something. I guess it takes me to a different place. It just requires a higher level of focus.,,,0.9012281,0.025769884
32,ABS,"Since death is a big part of the way people interpret what you do, what scares you about life?","Intimacy, connection, relationships. Or you are wasting time, squandering it. I mean in some ways living with regret that you didn’t do the right thing or you could have done something better.",,,0.9012281,0.016162215
33,ABS,"What are your thoughts about fate, given what you do? Many people would look at what you do and have a sense that you're right on the edge between life and death.",I would hope that they're wrong about that! But who knows? I've never been religious or spiritual in any way. I'm not a big subscriber to fate. I see life as probabilities and chance and reality. Fate doesn't play into my thinking at all. But I definitely do think about mortality and my time being short. I'm very aware that I have a limited time here and I should make the most of it and do what I can. I think that the desire to do my best in climbing does stem in part from knowing that I'll only be here for a certain amount of time.," I mean, I've had a lot of close calls. But I think you have to look at it from a different perspective. For me, climbing is all about pushing the limits and overcoming fear and uncertainty. And so for me it's all about that experience of overcoming my fears and having fun with my friends in the mountains.",,0.66025037,0.4422022
